_id,modeId,startTime,endTime,accountId,nickname,level,score,gradingScore
8VyWIOQ7bqr,8,2022/9/25 10:14,2022/9/25 10:34,69922136,いおり530,10301,44300,75
8VyleQ2lALG,8,2022/9/25 13:44,2022/9/25 14:17,69922136,いおり530,10301,26200,-3
8W0MYrEQqkg,8,2022/9/26 12:15,2022/9/26 12:26,69922136,いおり530,10301,-6600,-86
8W0RHv7HaYW,8,2022/9/26 13:20,2022/9/26 13:34,69922136,いおり530,10301,15700,-64
8W0XpLzVGGY,8,2022/9/26 14:49,2022/9/26 15:18,69922136,いおり530,10301,8800,-71
8W2AlhBRS3O,8,2022/9/27 13:49,2022/9/27 14:07,69922136,いおり530,10301,30800,31
8W2D1Wi1wYZ,8,2022/9/27 14:19,2022/9/27 14:40,69922136,いおり530,10301,35200,66
8W3toICSVy2,8,2022/9/28 14:11,2022/9/28 14:32,69922136,いおり530,10301,13600,-66
8W3vUbRWFDw,8,2022/9/28 14:34,2022/9/28 14:48,69922136,いおり530,10301,34100,65
8W5SyF5lyIY,8,2022/9/29 12:19,2022/9/29 12:50,69922136,いおり530,10301,33900,64
8W5a1McpuxT,8,2022/9/29 13:56,2022/9/29 14:08,69922136,いおり530,10301,31900,62
8W5bluInfjO,8,2022/9/29 14:19,2022/9/29 14:39,69922136,いおり530,10301,50800,81
8W74TRudPxq,8,2022/9/30 10:59,2022/9/30 11:11,69922136,いおり530,10301,26200,-3
8W7DUHSnJyW,8,2022/9/30 13:02,2022/9/30 13:27,69922136,いおり530,10301,30900,31
8W8MedWVwDR,8,2022/10/1 5:15,2022/10/1 5:31,69922136,いおり530,10301,33000,63
8W8h3afsywU,8,2022/10/1 9:54,2022/10/1 10:10,69922136,いおり530,10301,5000,-75
8WADAJf07B9,8,2022/10/2 7:20,2022/10/2 7:36,69922136,いおり530,10301,25500,26
8WAEt1XiOFk,8,2022/10/2 7:43,2022/10/2 7:57,69922136,いおり530,10301,23700,-6
8WAPrEo9IMy,8,2022/10/2 10:13,2022/10/2 10:27,69922136,いおり530,10301,23300,24
8WAYfdJoSJn,8,2022/10/2 12:13,2022/10/2 12:30,69922136,いおり530,10301,19200,-10
8WAdlji0IKa,8,2022/10/2 13:23,2022/10/2 13:36,69922136,いおり530,10301,31400,62
8WAf1M1BEa6,8,2022/10/2 13:40,2022/10/2 13:52,69922136,いおり530,10301,24600,25
8WAgr8N8YpA,8,2022/10/2 14:05,2022/10/2 14:17,69922136,いおり530,10301,23000,-7
8WCNPx0Q627,8,2022/10/3 13:54,2022/10/3 14:12,69922136,いおり530,10301,20700,-59
8WCP1rgxu1c,8,2022/10/3 14:16,2022/10/3 14:36,69922136,いおり530,10301,21000,-9
8WDWd9uWUeW,8,2022/10/4 6:07,2022/10/4 6:24,69922136,いおり530,10301,25600,26
8WDkni3AR9v,8,2022/10/4 9:21,2022/10/4 9:35,69922136,いおり530,10301,15700,-64
8WDqoNFf3So,8,2022/10/4 10:43,2022/10/4 11:08,69922136,いおり530,10301,21300,-8
8WE1TCZnUW7,8,2022/10/4 13:09,2022/10/4 13:48,69922136,いおり530,10301,15300,-14
8WFS5zLqj24,8,2022/10/5 9:20,2022/10/5 9:31,69922136,いおり530,10301,29700,30
8WFU82ePtZw,8,2022/10/5 9:48,2022/10/5 10:03,69922136,いおり530,10301,24700,-5
8WFeO7JWD8V,8,2022/10/5 12:08,2022/10/5 12:25,69922136,いおり530,10301,34900,65
8WHS2Dyx2xl,8,2022/10/6 13:34,2022/10/6 13:58,69922136,いおり530,10301,35600,66
8WHW6ljl3xO,8,2022/10/6 14:29,2022/10/6 14:45,69922136,いおり530,10301,12400,-67
8WJaSjcrtrx,8,2022/10/7 19:43,2022/10/7 20:01,69922136,いおり530,10301,29900,30
8WKOzzqLiF0,8,2022/10/8 7:14,2022/10/8 7:26,69922136,いおり530,10301,30300,61
8WLbb7GD4kj,8,2022/10/9 0:13,2022/10/9 0:37,69922136,いおり530,10301,19800,-60
8WLrhVg8034,8,2022/10/9 3:54,2022/10/9 4:08,69922136,いおり530,10301,25000,25
8WLw3Bytf3Y,8,2022/10/9 4:53,2022/10/9 5:06,69922136,いおり530,10301,20500,-9
8WMLg5vmfRd,8,2022/10/9 10:43,2022/10/9 11:02,69922136,いおり530,10301,16900,-13
8WMPqDTMpsI,8,2022/10/9 11:40,2022/10/9 12:19,69922136,いおり530,10301,25700,26
8WNR9yCD55G,8,2022/10/10 2:05,2022/10/10 2:17,69922136,いおり530,10301,23000,-7
8WNUgGOEGJO,8,2022/10/10 2:53,2022/10/10 3:09,69922136,いおり530,10301,24500,-5
8WNvuIbMJq3,8,2022/10/10 9:06,2022/10/10 9:17,69922136,いおり530,10301,25000,25
8WNynKqvyJt,8,2022/10/10 9:45,2022/10/10 10:01,69922136,いおり530,10301,24600,25
8WOEO4AhqPN,8,2022/10/10 13:18,2022/10/10 13:39,69922136,いおり530,10301,46800,77
8WOHKmgQ0Dt,8,2022/10/10 13:58,2022/10/10 14:28,69922136,いおり530,10301,6800,-73
8WPiA2qgPMf,8,2022/10/11 10:12,2022/10/11 10:33,69922136,いおり530,10301,24500,25
8WRe6c4uibU,8,2022/10/12 13:31,2022/10/12 13:44,69922136,いおり530,10301,22000,-8
8WRgGRMpIdq,8,2022/10/12 14:01,2022/10/12 14:16,69922136,いおり530,10301,24500,-5
8WRi9rdzoA9,8,2022/10/12 14:27,2022/10/12 14:46,69922136,いおり530,10301,15900,-14
8WT3PHVZEEV,8,2022/10/13 9:24,2022/10/13 9:40,69922136,いおり530,10301,30700,61
8WT7Zra5w3d,8,2022/10/13 10:21,2022/10/13 10:39,69922136,いおり530,10301,35900,66
8WT931FbGBg,8,2022/10/13 10:41,2022/10/13 10:53,69922136,いおり530,10301,15300,-64
8WTICjecFI2,8,2022/10/13 12:47,2022/10/13 13:10,69922136,いおり530,10301,32500,63
8WTKjoFA7EK,8,2022/10/13 13:21,2022/10/13 13:37,69922136,いおり530,10301,29700,30
8WTMVZSR650,8,2022/10/13 13:45,2022/10/13 13:58,69922136,いおり530,10301,20000,-10
8WTORNMa71c,8,2022/10/13 14:12,2022/10/13 14:30,69922136,いおり530,10301,36300,37
8WUnmIm3Hng,8,2022/10/14 10:05,2022/10/14 10:30,69922136,いおり530,10301,15100,-64
8WV2hCOkiI4,8,2022/10/14 13:29,2022/10/14 13:53,69922136,いおり530,10301,23100,24
8WV70I6NuG0,8,2022/10/14 14:28,2022/10/14 14:39,69922136,いおり530,10301,29700,30
8WV8Hf2QY0b,8,2022/10/14 14:46,2022/10/14 15:00,69922136,いおり530,10301,41400,72
8WVAiu5MQSi,8,2022/10/14 15:19,2022/10/14 15:37,69922136,いおり530,10301,25000,25
8WWCWcbqKEb,8,2022/10/15 5:51,2022/10/15 6:09,69922136,いおり530,10302,14700,-75
8WWWLLx7pYt,8,2022/10/15 10:22,2022/10/15 10:41,69922136,いおり530,10302,27600,-2
8WXaRQlsQVm,8,2022/10/16 1:25,2022/10/16 1:38,69922136,いおり530,10302,39100,70
8WXdyryqy7W,8,2022/10/16 2:13,2022/10/16 2:26,69922136,いおり530,10302,15200,-74
8WYVvnYT1wr,8,2022/10/16 14:31,2022/10/16 14:50,69922136,いおり530,10302,30400,61
8WZyjSQrxpm,8,2022/10/17 11:11,2022/10/17 11:29,69922136,いおり530,10302,31400,32
8Wa0w7G38Er,8,2022/10/17 11:42,2022/10/17 11:54,69922136,いおり530,10302,33200,64
8Wa3T0MDei0,8,2022/10/17 12:16,2022/10/17 12:33,69922136,いおり530,10302,19400,-10
8WbSW25pBXy,8,2022/10/18 8:06,2022/10/18 8:28,69922136,いおり530,10302,24000,24
8WbUTQocNlW,8,2022/10/18 8:32,2022/10/18 8:38,69922136,いおり530,10302,25000,25
8WbYoQGaZzA,8,2022/10/18 9:32,2022/10/18 9:42,69922136,いおり530,10302,7200,-82
8WbcTISSGKG,8,2022/10/18 10:22,2022/10/18 10:38,69922136,いおり530,10302,27800,28
8WbpME8cwkk,8,2022/10/18 13:18,2022/10/18 13:26,69922136,いおり530,10302,33900,64
