"game_date","analysis_target","game_ID","tile_List","winner","Loser","gamelog_json"
"2022/8/11 15:00","Bさん","東1-0","2m4m6m8m1p2p5p9p4m4m6m6m1m2m3m9m3p4p4p5p4s6s6s7s7m7m2p0p7p8p1s3s6p7s8s2z8s9s1z4z9p1s5s1z0s6s2z4z4z5z3z7z7z2s4s5m8s4s6z6m1p3s9m1p7p9m4s5m2m3m8p1z2p4z1m9p9p7s8m3m1m3z3p7z7p7s6s1p2m3s1s9s8m8p5s3s9s6z2z2p1m4p8s3m3z6z7z5z8m5p2s2z2s9m8p5z1s4p7m7p1z6z3p3p4m7m0m5s6p9s5m3z6p5z2s6p","P1","P2","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[0,0,0],[25000,25000,25000,25000],[43],[],[12,14,16,18,23,24,24,25,26,37,38,42,44],[47,38,21,27,12,22,29,11,27,12,18,42,38,47,32,28,17],[42,47,60,44,38,27,60,60,60,18,60,60,'r37',60,60,60,60],[21,22,25,29,34,36,36,37,38,39,41,44,45],[32,34,33,19,13,44,37,43,37,33,28,'44p4444',22,13,45,42,45,27],[21,22,29,25,60,41,19,45,43,32,60,38,60,60,60,60,60,60],[14,14,16,16,17,17,22,52,29,31,35,41,43],[34,46,19,34,28,11,18,23,36,31,35,39,11,43,18,32,31,41],[29,31,60,22,60,60,41,43,34,60,60,52,23,60,11,60,18,17],[11,12,13,19,27,28,31,33,53,36,42,44,47],[15,16,21,15,41,29,13,47,21,39,33,46,24,46,25,19,24,46],[42,19,47,21,60,16,60,60,60,60,44,31,29,13,11,27,28,60],['流局',[3000,-1000,-1000,-1000]]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","東1-1","5m6m8m8m1m2m4m8m6m1p3p5p2m4m4m5p9m2p3p4p3p6p6p7p6p2s3s4s8p4s5s2z6p3s6s1z8p5s3z5z0s6s7s1z3z3z4z4z2z6z6z7z6z4z4m2z2m0m8s7s0p7p6s7p1p3s5m7m8m7s6z1s1s5p1z8p2p9p1z5s3p5z2s2s8s1p7z9s9m2m4p1m9p9p8p5m2z6m6m3m1m9m7m9s6s3s7z9p8s5z8s5z4p1m2p7z2p1s3m3z7m4z4s7p9m7m2s9s3m3m9s1s4s7s1p4p","P4","P3","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[0,1,1],[27000,24000,24000,24000],[31],[],[15,16,18,18,19,22,23,24,26,33,36,41,42],[46,14,38,36,15,46,41,41,32,21,'18p1818',11,15,13,39,29,45],[42,46,41,26,19,60,60,60,15,60,38,60,60,16,60,60,60],[11,12,14,18,23,26,26,27,28,35,43,45,46],[44,42,37,27,17,31,28,35,32,47,19,29,42,11,36,38,24],[60,60,43,45,11,60,23,37,12,60,14,32,60,60,29,46,60],[16,21,23,25,26,32,33,34,53,36,37,41,46],[12,52,21,18,31,22,23,38,39,12,29,16,19,33,45],[46,41,23,12,25,60,60,16,18,60,60,60,60,60,60],[12,14,14,25,28,34,35,42,43,43,44,44,47],['44p4444',51,27,33,37,25,29,45,'c161451',24,28,16,17,47,38],[28,42,47,14,12,37,60,60,27,25,60,60,60,60,60],['和了',[0,-12300,13300,0],[2,1,2,'跳満12000点','一気通貫(2飜)','平和(1飜)','ドラ(1飜)','赤ドラ(2飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","東2-0","6m6m9m1p7m8m9m2p4m8m6p8p1m1m1m9m2p6p2s3s5p7p3s4s1s1s4s7s5p6p8p9p3s0s5s4z6s6s9s3z2z3z4z5z9p1s2s2s6z1z7z6z7z4p4z2p6m7z3m5s8s6z3m5p1z5m6s2p7p4s6m5z3p3z9s2z1z1s0p7p5z8m8s4p7s6s2z8m1m4m8p9m7m7p3m1z7m3p0m4m4s5z4z5m3m7s8s8s3s7z3p3p1p2z2m4m2s6p8p2m1p9p5m6z4p7m5s9s9p3z2m2m7s9s1p4p","P1","P2","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[1,0,0],[27000,11700,37300,24000],[12,43],[],[11,11,11,19,25,26,28,29,29,31,32,32,41],[22,35,25,22,45,42,27,18,36,14,27,41,34,13,38,23],[41,19,22,60,60,60,35,60,60,60,11,31,28,60,60,41],[16,16,19,21,22,26,32,33,33,53,35,44,47],[47,16,38,41,27,23,41,'p355335',38,42,28,13,17,'3333p33',45,37,33,24],[44,19,21,32,22,60,38,26,60,60,60,60,60,27,60,60,'3333k3333',60],[17,18,19,22,25,27,33,34,36,36,39,43,46],[24,47,46,15,34,43,31,45,24,18,19,23,51,44,38,47],[43,39,27,22,47,60,60,15,45,19,60,33,17,60,60,24],[14,18,26,28,31,31,34,37,42,43,44,45,46],[44,13,13,36,16,39,52,'c151416',37,11,17,'13p1313',14,15,'c383637','c245226'],[37,18,43,42,31,60,28,31,45,60,60,44,60,44,15,46],['和了',[-12000,12000,0,0],[1,0,1,'満貫12000点','対々和(2飜)','役牌:場風牌(1飜)','役牌:自風牌(1飜)','赤ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","東3-0","2m0m5m7m2m4m8m7p4m6m8m2p1m3m4m5m9m9p1s4s9p3s3s6s3p7p2s4s8m3p5p6p1z1z2z2z9s9s3z5z4s8s5z7z7p8p6s3z7z6z6z5z7z0p8m8s2m1m4p1p3p8p3s8p1z7s3s9m7s8s6z6s5p9s1s3m9s7m7m4z7s5p3z1m6m0s4z7m4p2s5z2p9p9m4p6m1p3p7z6z5s4m2z3z6s4z1p6p2s1z1s9p4s8s7s3m1s4p5m5s2p6p8p1m7p4z9m2s3m6m6p1p2m2p5s2z","P1","P2","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[1,1,0],[15000,23700,37300,24000],[21],[],[11,13,14,15,18,23,25,26,27,28,36,43,46],[38,11,23,41,37,38,39,17,25,53],[43,46,18,60,'r28',60,60,60,60,60],[12,51,15,17,19,29,31,34,41,41,42,42,46],[47,12,24,'c181719','p414141',33,46,31,17,43,44],[31,34,60,29,47,60,12,60,60,12,60],[12,14,18,27,29,33,33,36,39,39,43,45,45],[52,21,28,'3333p33',19,36,13,44,11,17],[43,18,36,21,28,12,52,39,39,44],[14,16,18,22,23,27,32,34,34,38,45,47,47],[18,'34p3434','p181818',33,28,'47p4747',37,25,39,37,16,24],[38,27,32,60,60,16,45,60,60,14,60],['和了',[-600,-1100,-600,3300],[3,3,3,'30符2飜500-1000点','役牌 中(1飜)','ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","東4-0","3m6m9m3p1m0m5m6m1m1p2p0p5m5m6m9m7p3s5s5s7m8m2p5p6p8p1s4s1p4p4p6p7s8s8s9s3s3s3s4z1z2z2z6z8p1s2s7s9s7z7z8s3z9s5p7m7p8p7z1z2s7m6z1m8p4m7s9p6s9p2m9p9p4z1p4s3p3z6s2m2p5z4s1p2s2p6s6m5z6z3m6z8m1z5s3z2z5p2s7s4m5z2m1s7m3p6s9s2m7p4s6p3m3p8s4m1s4z8m1z7z3m9m9m8m5z2z0s7p1m6p3z4p4p4m4z","P3","ツモ","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[2,0,0],[13400,22600,36700,27300],[43],[],[11,21,22,52,26,28,31,34,41,42,42,46,47],[25,47,46,'p474747',29,29,'p255225',12,21,16,46,43],[11,34,31,41,60,60,22,60,21,60,21,60],[15,15,16,19,21,24,24,26,28,31,32,37,38],[17,41,11,37,12,44,23,22,32,45,18,42],[21,60,60,19,60,31,28,60,24,16,26,18],[13,16,19,23,27,33,35,35,37,38,38,39,39],[43,27,32,28,29,29,21,43,45,22,46,41],[19,43,13,23,27,16,60,60,29,60,39,60],[11,51,15,16,17,18,22,25,33,33,33,44,47],[39,28,17,14,36,'c161718',34,36,34,36,13,35],[60,11,22,47,44,28,25,34,60,14,60,60],['和了',[0,-2000,0,2000],[3,1,3,'30符2飜2000点','断幺九(1飜)','赤ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","南1-0","2m3m4m6m7m8m8m9m4m5m7m7m1m2m3m0m2p5p5p7p0p1s3s4s1p4p8p8p5m2p2p6p4s4s7s8s6s6s5z7z2s3s7s7s7p2s6s5z2z6z9s7z2z4z3p7m5z8m4p4s4m1z5z2s3m5s2s2m1z8p2z3p8s9s6p6z4z4p3z9m2z9p3m9m3z8s7z4m1p1z5p6m6s6p7p1s7p1m1z4z6m1m1m2p8p3p6z3p8m1s1p5m3z9m2m6m9p9s5s9s6p9p8s3z9p4p7z7s1p4z1s3s5s0s6z3s","P4","ツモ","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[3,0,0],[13400,20600,36700,29300],[33],[],[17,18,18,19,52,31,33,34,36,36,45,47,47],[44,18,41,35,28,39,24,29,38,'4747p47',14,21,36,27,16,28,18],[60,45,31,41,60,60,18,60,18,38,60,60,33,60,60,60,60],[14,15,17,17,21,24,28,28,32,33,37,37,42],[23,24,45,32,42,26,43,13,47,41,26,11,11,23,31],[21,42,60,15,23,14,60,60,60,60,42,60,60,33,23],[11,12,13,51,15,22,22,26,27,32,36,45,46],[17,34,32,12,23,46,19,19,25,27,41,11,46],[45,46,60,60,17,60,60,60,22,60,60,60,60],[12,13,14,16,22,25,25,27,34,34,37,38,39],[42,45,14,13,41,38,44,42,43,'3838p38','1414p14',16,31,44,22,23],[60,60,22,16,60,27,60,60,60,37,12,60,60,60,60,39],['和了',[3900,-3900,0,0],[0,1,0,'30符3飜3900点','役牌 中(1飜)','ドラ(1飜)','赤ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","南2-0","3m4m6m4p4m6m7m8m1m2m2m4m1m4m5m7m4p5p8p1s4p4p9p2s7m8m9m1p8m3p2s5s4s6s7s1z5s6s8s1z2p7p6s9s7s8s9s2z2z1z5z3z3z6m5p7z7z6s7s6z0m2p9m3z3s6p8s5z6z9s6p8p3m5m1s1p2z7p2s9p6z1p5p7s7p2s6z9m9p3s7m1s5s6p2z2m7z4z1s3p3p9p1m8p7p2p0s4s5z3s6m7z1p1z1m4z3s4s8s2m8m2p9s6p5z0p5m4z4s3z9m8p3m3m4z3p","P3","ツモ","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[4,0,0],[17300,16700,36700,29300],[28],[],[13,14,16,24,24,25,28,31,34,36,37,41,42],[43,47,51,33,46,13,'c353637',32],[60,42,31,47,60,28,41,24],[14,16,17,18,24,24,29,32,35,36,38,41,41],[16,36,22,26,39,15,'p414141',29],[38,29,32,22,60,36,26,60],[11,12,12,14,17,18,19,21,22,27,36,39,45],[25,37,19,38,26,31,42,46],[39,11,60,45,22,21,31,60],[11,14,15,17,18,23,32,35,37,38,39,42,43],[47,46,43,45,28,21,27,21],[43,11,32,42,45,35,43,23],['和了',[2900,0,0,-2900],[0,3,0,'30符2飜2900点','断幺九(1飜)','赤ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","南3-0","3m2p4p8p2m5m5m6m1m6m6m1p2m3m6m7m9p9p1s2s7m8m9m4p1p4p5p5p6p1s3s3s2s2s8s9s5p8p4s7s7p6s5z7z5s6s8s2z1z6z7z4z2z7z0s5z3m9p8m7p2m7s8p9p9s4m3z3m3p9m7m7z3p3z4p1s2z8p1m5z1z7m6z6z6s4m4z9s2m6p6p5s3p1p3s4m7s1s6p7p2s5m3p4z0p1m4s7s0m2p5s3z6s8s7p8s4z8m1z1p4s3s4s9m1z8m9s2p1m2p4m5z9m6z3z2z","P4","ツモ","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[4,1,0],[20200,16700,36700,26400],[45,22],[],[13,22,24,28,29,29,31,32,32,32,38,39,41],[42,45,27,29,43,17,43,28,45,46,39,26],[60,31,45,41,60,13,60,17,60,60,60,28],[12,15,15,16,17,18,19,24,25,28,34,37,46],[47,13,12,39,13,'p131313',24,'c171819',41,36,12,35],[60,28,34,60,37,24,60,25,60,60,15,60],[11,16,16,21,21,24,25,25,27,36,45,47,47],['p474747',29,37,14,23,47,42,31,11,17,14,'c151617'],[11,45,29,27,25,'k47474747',60,60,60,14,60,16],[12,13,16,17,26,31,33,33,35,36,38,42,44],[53,18,28,'c272628',19,23,42,'c111213',46,44,26],[42,31,44,33,60,33,60,23,60,60,60],['和了',[0,-2900,2900,0],[2,1,2,'40符2飜2600点','役牌 中(1飜)','ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","南4-0","1m1m4m8m2m5m1p8p7m1p0p7p1m6m8m8m2p3p1s3s3s5s6s7s8p9p1s4s9m3p4p7p3s8s8s9s8s1z2z4z3z4z5z5z2s0s6s1z6z3z1z6z7z2p5m9p3p4s3m8p7s1z2p3z4p6p1m6s7s7p4z8m5m6m9m2z2s9m7z7s7m9s6m3m4m9s4m7z2z5z4m4z6s2s4s1p6p9p3m7p9s6p2m7m3p2z1p0m4p2m1s5p2s5z7m5p2p6z6m6p3m1s6z5s5p7z8p9p5s3z8s4p3s2m9m4s","P4","P1","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[5,0,0],[20200,13800,39600,26400],[24],[],[11,16,18,18,19,23,24,27,32,53,36,41,43],[29,28,43,36,18,42,37,16,14,14,34,13,12,21,31,45],[43,41,60,11,32,60,36,'r19',60,60,60,60,60,60,60,60],[11,11,14,18,22,23,31,33,33,38,38,39,41],[47,23,37,24,37,15,32,17,13,47,44,21,27,17,51,'c313233',17],[60,41,14,23,31,18,15,60,60,60,60,24,60,60,60,33,60],[12,15,21,28,33,35,36,37,38,41,42,44,46],[22,34,41,26,27,16,19,39,14,42,36,26,39,23,24,25,25],[12,28,22,21,15,44,60,16,42,60,14,41,46,41,39,27,39],[17,21,52,27,28,29,31,34,43,44,45,45,46],[15,13,22,11,44,19,47,'c161517',39,45,32,29,26,42,12,32],[31,43,44,60,60,34,19,13,47,39,60,46,28,60,60,60],['和了',[0,3900,-2900,0],[1,2,1,'30符2飜2900点','純全帯幺九(2飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 15:00","Bさん","南4-0","2m4m6m6m1m4m7m2p1m3m4m5m1m3m3m2p7m8m8m2p7p7p8p4s7m9m5p9p3p4p5p7p4s5s7s8s9s2z4z4z1s3s1z5z8p1s0s6z5z6z6z7z7z3p3s2p4z2z1z2s5p2m7p4s6s5z6p2s1p6s6s1z1p8m9s4m4p8s3z6p7z5s9m9s8s2z6z8s9p4z3p3s0p1p1s5z5m6p6p4p6m4s3z6m3m8m2z2m7s2s9m5s7s1p7s2m1s1m3z4p9m1z8p8p3z7z9p0m9s9p3s7m5m3p6s2s","P4","P1","{'dan':['雀豪★2','雀豪★1','雀豪★2','雀豪★3'],'lobby':0,'log':[[[5,1,0],[19200,17700,36700,26400],[17],[],[11,13,13,22,23,24,25,27,28,31,53,46,46],['4646p46','c292728',32,34],[31,11,60,22],[12,14,16,16,17,18,18,22,34,35,37,38,46],[47,23,44,25,36],[46,47,60,60,12],[11,14,17,22,27,27,28,34,39,42,44,44,47],[33,42,12,45],[11,39,47,22],[11,13,14,15,17,19,25,29,31,33,41,45,45],[22,41,27,26],[29,22,31,33],['和了',[2300,0,0,-2300],[0,3,0,'30符2飜2000点','役牌 發(1飜)','赤ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[2355.0,1320.0,2648.0,2228.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
