"game_date","analysis_target","game_ID","tile_List","winner","Loser","gamelog_json"
"2022/8/14 18:12","Cさん","東1-0","4p9m6m5p9s7m5z1z3s7z3s3z8s1z8m7m7z4s7z4s4m4m3p2z3z2s5p1m7s7p4p6s6z6m1z5s2z3p5m4s1m4z6m9m5z6z8s1s7p5z4z6m1z9m6p8p3s9p6s2p5m6p6s3m3m3m3z0p2m7s4m5m8m1p2p9s5z2s2m2p0s7m9m","P1","P2","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[0,0,0],[25000,25000,25000,25000],[12],[],[13,14,21,22,24,27,28,28,29,31,31,32,32],[39,25,41,43,17,34,42,11,36,35,34,19],[60,28,60,60,60,60,60,60,60,60,60,60],[11,51,18,23,24,27,28,33,35,36,37,42,46],[24,39,33,38,47,14,43,37,46,42,11,45],[11,60,46,42,60,18,60,60,60,60,60,60],[11,12,17,21,25,26,26,29,29,31,44,44,46],[19,17,47,41,34,14,32,27,16,23,44,46],[31,21,11,12,60,60,60,19,29,60,29,17],[12,18,21,23,34,35,37,38,38,39,42,43,47],[16,45,33,18,47,23,25,24,41,15,16],[47,60,42,43,60,21,38,23,60,12,60],['和了',[0,0,-1000,1000],[3,2,3,'30符1飜1000点','平和(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","東2-0","9s8s3z5s3s3z6p5z3p0m2p5m1z9p8s9m9p4s4m9s1m4m1z7s6p6m8p7s3p7s5p1s7p6p5z3s4s9s2m3p7z7p4p8m6s4z5m4z0s1p7m2z8p7m2p6z9p2s6s4m7p5p1p9m7z4s7m7m6m8m9p0p1p3m7z3z3s6s6z2p3m4p1z","P4","P3","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[1,0,0],[25000,25000,24000,26000],[46],[],[11,11,12,16,26,28,33,34,38,41,42,46,46],[43,26,23,41,29,11,37,37,31,26,34,23,18,44,42],[60,42,41,60,60,38,60,60,60,16,60,60,60,60,60],[14,15,18,19,19,21,23,24,25,27,28,31,37],[44,35,45,51,29,34,14,26,23,'c161451',39,47,36,53,28],[60,31,60,18,15,37,60,35,34,23,60,60,60,60,60],[12,12,13,22,24,31,31,32,35,36,38,39,43],[39,33,22,38,14,41,16,37,'31p3131',45,'p393939',27,44,21,17],[43,22,13,22,24,14,60,12,12,60,41,60,60,60,60],[11,13,16,18,32,32,35,42,42,44,45,45,47],[38,43,'45p4545',15,19,39,'c141315',28,25,27,33,12,24,15,17],[44,60,38,35,32,32,11,60,60,60,60,39,60,47,12],['和了',[0,0,-3900,3900],[3,2,3,'30符3飜3900点','混一色(2飜)','役牌 白(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","東3-0","7s3p9p3s3z7z4m1s5z6m8m7m7p5z6m2s3p6s5p3s0m2z3z4m4p4z9m9m8s7z1m7s3s0p3m7p1m5m5s2p5m1p2m8p6s9m7z7s3m6m4z4s9p1z2p7p3p1s5p5z2s5s8p2p5z2z0s5p3m1s4s3z3m1m8s6z3s1z2m6s9p9s3z","P1","P2","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[2,0,0],[25000,25000,20100,29900],[12],[41],[12,17,18,18,18,19,21,24,32,34,42,44,44],[23,47,16,45,36,42,44,47,52,15,21],[42,60,21,60,12,60,19,60,'r36',60,60],[12,17,21,22,26,26,26,28,36,39,39,41,41],[29,14,18,16,25,43,19,11,13,35,12],[17,36,60,60,12,14,60,60,43,21,39],[11,15,16,17,23,24,27,29,32,35,37,42,46],[47,33,31,17,32,33,14,19,37,27,22,28],[11,42,46,47,60,60,29,60,35,31,32,33],[14,14,21,24,26,28,31,34,38,38,39,46,46],[37,43,45,27,23,51,24,38,33,11,15],[21,60,60,31,38,14,34,60,60,60,60],['和了',[3600,0,-2600,0],[0,2,0,'40符2飜2600点','立直(1飜)','赤ドラ(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","東4-0","3m7s2s1s6p6m5p8p8s9p3m4m7z5m1z3z1z9s7z7m8m4m2p5p5z8s7s5z6s8s6z4s4m1p2z5p4z3s2m4p1m0p9p6s3m4p7s4p3z1m6z7z1z1z4m7p3p7m2p9m2s4s2z2z2m4s2z8p8m5m2s6m3p9s5z2m3p4z9m5m6z6z1m","P1","P2","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[3,0,0],[27600,25000,17500,29900],[19],[44],[12,13,21,24,27,28,29,32,33,34,35,43,47],[13,26,38,47,41,18,45,36,14,44],[43,47,21,60,60,60,60,38,60,60],[51,18,21,22,22,26,27,29,31,31,53,37,45],[37,16,29,15,39,14,38,38,21],[29,18,60,45,60,15,21,31,31],[11,16,16,17,17,19,21,26,28,35,36,39,43],[32,25,13,41,47,22,37,46,42],[43,39,32,60,60,28,19,60,60],[18,19,23,26,27,31,33,33,35,36,38,39,44],[44,31,28,14,43,17,25,45,34,25],[31,60,23,39,60,14,38,60,'r25',60],['和了',[-2000,0,0,3000],[3,0,3,'40符1飜2000点','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","東4-1","3p7s6z4s5z9p4s4p4p5z5p4s8m8p6m7p0m5s7z6p3z2z5p6m2m3p5p4m3m9p5z9p3s2m2p6p3m8p1s4z3z7p1z7z7m3m1m4z2p4p2s6m7m7p3s9p3p8m3s4p4z6z5z6z3m2s6p4s4m3s1p2s3z6p7s2s7z6m1p7z2m8s5m","P3","ツモ","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[3,1,0],[25600,25000,17500,31900],[21],[16],[12,14,17,19,28,35,36,37,38,38,39,43,46],[23,29,45,18,51,43,12,13,33,13,43],[43,46,60,23,12,60,60,'r39',60,60,60],[15,15,18,19,21,28,53,36,36,39,41,41,42],[37,34,25,28,35,42,23,29,12,28,27],[21,39,42,19,18,25,42,23,60,'r29',60],[11,11,18,19,22,22,27,35,37,39,41,42,42],[46,'1111p11',24,'p424242',16,47,25,25,45,22,31],[27,35,46,39,37,41,16,24,18,19,45],[11,14,17,19,21,23,52,31,31,31,36,38,39],[44,34,45,24,34,27,26,16,14,29,26,44],[60,11,60,39,21,14,19,38,60,23,29,60],['和了',[7500,-5500,0,0],[0,1,0,'40符3飜5200点','立直(1飜)','赤ドラ(1飜)','裏ドラ(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","南1-0","9m7z8p7m0p2m1s7p7s9m1p4m2s4s7p5s1m5s6z6p7p6m5p9s7s6s3p8m2p4p8s5m1z2m4z3z7m5m7m0m9m7s4z5z4z8p6z4p7z1m3p5m3m1z4z2m2p4m5z2m9m6z7m4p2z1p2s1z1p3s0s7z4s8m2z4s5z1m9p1s9p3m9p","P4","ツモ","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[4,0,0],[32100,18500,17500,31900],[29],[11],[14,16,18,22,26,28,31,32,33,33,38,41,43],[43,17,27,14],[41,22,33,'r38'],[11,13,21,22,28,29,31,36,36,38,39,45,47],[19,52,37,32],[60,47,45,22],[23,24,25,26,26,27,32,34,35,39,42,42,43],[47,12,19,'c222324'],[39,60,60,43],[13,14,16,16,18,23,25,33,36,37,38,39,46],[28,31,21],[46,28,18],['和了',[3000,0,-2000,0],[0,2,0,'40符1飜2000点','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","南1-1","5z1p2m2s9m6s4z1z1z7m4z1s3s3m4p3p3s9p8s2z4s6p8p9p2s3m3p5s5s0s8m6p2p3z1s2m4s3z7p6m6m2z6p3s9s9p9m4z8m4z2s7z1p7m4m9s6m6z4s7p2z7z8p5z5p9s8s0m7p2p4p3z1m3z4p6z9s4m1s1z6m9m2p","P3","ツモ","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[4,1,0],[34100,18500,15500,31900],[31],[14],[12,12,18,19,52,25,26,28,35,36,37,45,46],[47,32,41,31,23,42,29,35,26,12,16,39,18,21],[60,46,45,41,28,60,60,23,19,18,60,60,60,60],[11,11,13,14,15,15,21,23,25,27,32,38,42],[45,19,41,33,33,34,32,35,22,34,16,29,44,17],[60,60,60,38,60,42,21,11,60,11,34,60,60,'r23'],[11,14,15,17,22,24,28,29,31,33,36,36,46],[21,36,17,13,29,26,13,53,43,43,42,'1717p17',19,32,14],[60,11,29,31,60,46,33,22,60,60,60,28,60,60,26],[13,17,18,21,23,34,37,37,37,38,41,45,47],[12,44,44,24,38,28,23,18,31,27,26,33,44,47],[47,45,41,21,44,44,28,34,60,60,17,60,60,60],['和了',[0,13300,-12300,0],[1,2,1,'跳満12000点','断幺九(1飜)','立直(1飜)','一発(1飜)','ドラ(2飜)','裏ドラ(2飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","南2-0","8m2m7z3z6s2z5s4p9p3s3m1p4p6s5m7z4z9p5p3z5m9p3m4s7m9s6s2m8s2s4s6m5z3s7s9s1p4z8m7s1s7p7z6m8p1z9s3z6p4s4p7p2z3p4m0p3p2s8m2p6z6z1m3p7s3z4s5z4z1z6m1s4p4z3s2m0m8p6z2z1m2p1p","P4","ツモ","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[5,0,0],[34100,30800,3200,31900],[46],[28],[11,12,15,19,23,26,26,26,32,53,38,41,46],[47,35,13,15,25,13,'5335p35',12,16,39],[41,19,46,47,38,32,11,25,23,13],[14,14,14,18,19,19,21,22,27,29,33,35,35],[41,43,24,21,47,43,34,17,38,45,21],[60,60,21,60,60,60,35,19,60,60,29],[17,17,19,22,25,27,28,28,31,36,37,45,47],[18,36,29,24,44,15,39,32,33,44],[31,47,45,22,60,60,60,60,60,60],[11,13,13,16,17,25,31,32,38,38,39,42,45],[12,42,33,36,29,29,36,34,37,18],[42,45,42,13,60,60,25,31,'r38'],['和了',[-1300,-2600,-1300,6200],[3,3,3,'20符4飜1300-2600点','門前清自摸和(1飜)','平和(1飜)','立直(1飜)','一発(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","南3-0","1z5s7m2p5m4p4m6p7p7z2z4p1m3p1s3s6s7p1z1m3p2z2s3p8p2s5p2s6p5s2s4m3z4p1z1p8m4z9s3s2p4m8p2m0s7z7s1s5z4s2z6m3p7z1p6z7m6s6p7s8m8s3s7p1m7m6m5m8m3z9m1p5s4z1m6m8p9s3z4p9s3z2z","P4","P1","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[6,0,0],[32800,28200,1900,37100],[43],[],[13,13,17,22,52,25,26,29,29,31,37,38,45],[35,22,26,24,33,11,23,32,14],[45,31,17,60,60,60,60,37,60],[12,13,13,51,15,22,29,36,38,38,41,45,45],['p454545',15,27,11,36,23,28,26],[29,41,36,27,60,13,60,60],[12,12,18,19,19,19,21,31,34,34,37,39,46],[47,17,24,47,23,27,42,32,35],[60,46,21,60,31,39,60,37,27],[14,16,25,27,28,29,33,34,36,44,44,46,46],[41,'p464646',14,42,31,41,32,25,32],[60,25,36,60,60,60,16,60,32],['和了',[-3900,0,0,3900],[3,0,3,'30符3飜3900点','役牌 發(1飜)','ドラ(2飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/14 18:12","Cさん","南4-0","5s6s8p6m4s3z7z2s4z2z7m2s6p5z9m4m6p3p6s4m2s1m6p3z2p7s9m1z1m5m2m7p5p6z2p0s3z8p6z5z4p7s1p9s6s4p9s7s4z2p4s9m1s2z4m9m4z3p3m4p1z1s3z8m6s9p8m5m4s3p1z4z3m6p7z3m6m2z3s1s6z1p8m","P4","P1","{'dan':['雀豪★1','雀豪★1','雀豪★1','雀豪★1'],'lobby':0,'log':[[[7,0,0],[28900,28200,1900,41000],[33],[42],[12,14,21,25,27,27,29,31,32,38,41,46,47],[35,34,44,26,26,32,22,11],[41,47,60,46,21,38,26,26],[11,13,16,17,17,23,24,25,28,33,38,39,45],[36,43,42,45,23,11,37,'c262425'],[39,11,13,42,43,60,33,28],[51,17,22,52,29,33,33,34,35,35,42,45,47],[28,47,17,19,36,26,19,15],[42,22,29,60,60,60,60,28],[11,12,12,15,16,18,21,27,28,29,37,38,38],[39,16,32,32,14,14,43,41,12],[21,38,11,18,'r16',60,60,60],['和了',[-1000,-1000,-1000,4000],[3,3,3,'30符2飜1000点∀','門前清自摸和(1飜)','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[1070.0,1263.0,1090.0,896.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
