index,name,seat,p_runs,p_empirical,p_value,entropy_bits,markov_p,cramers_v,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,tsumogiri_count,points_gained
東1-0,Aさん,東,0.38497820905387836,0.078,0.5814413222985055,0.7421554168830135,0.06252136578786048,0.18152626899068963,10,13,,12,10,6,14000
東1-0,Bさん,南,0.10101475373250303,0.2861,1.0,0.7169925001442312,0.2795754826907458,0.16930246362300364,,12,,11,,1,-4000
東1-0,Cさん,西,0.017718725756770325,0.8852,0.2885002549179375,0.39999999999999997,0.10693001999760897,0.13394838120210392,,12,1,13,,2,-4000
東1-0,Dさん,北,0.21583250553085742,0.9405,0.4454778171431152,0.39999999999999997,0.23709633831679872,0.13394838120210392,12,13,,12,12,4,-4000
東1-1,Aさん,東,0.0019161214301012704,0.9869,1.0,0.39999999999999997,0.003148972200755946,0.12568984745886708,,8,,7,,2,0
東1-1,Bさん,南,0.10101475373250303,0.6629,0.4454778171431152,0.5333333333333333,0.27598881592673097,0.1490993996350283,,8,,7,,3,-5500
東1-1,Cさん,西,0.017718725756770325,0.5683,1.0,0.4918295834054489,0.005819332916146411,0.15612450814640455,5,7,,6,5,2,6500
東1-1,Dさん,北,0.5873235968543763,0.0559,1.0,0.7836591668108979,0.36182230944251076,0.1873393108936591,,6,1,7,,2,0
東2-0,Bさん,東,0.0005580174102337017,0.953,0.42291909908300523,0.39999999999999997,0.002982467916975651,0.1339483812021039,,8,,7,,4,-3900
東2-0,Cさん,南,0.8595292506399483,0.3139,0.6055002506729578,0.6,0.4095097538254609,0.16284683944242703,,6,2,8,,4,3900
東2-0,Dさん,西,0.006196663652666353,0.476,0.7899705559920815,0.5836591668108979,0.04891208506914161,0.15612450814640455,,7,1,8,,4,0
東2-0,Aさん,北,0.017718725756770325,0.0338,0.2996240365820607,0.7421554168830136,0.08199614613058431,0.18733931089365913,,8,1,9,,3,0
東3-0,Cさん,東,0.10101475373250303,0.1864,0.5278170914359325,0.7169925001442312,0.24179966567453723,0.17552081147615894,,4,,3,,1,-2600
東3-0,Dさん,南,0.10101475373250303,0.1088,0.09395548170455541,0.8088220835496802,0.44716208002191105,0.1815262689906896,,4,1,5,,1,-1300
東3-0,Aさん,西,0.04488837120124027,0.1188,1.0,0.6754887502163469,0.10223615579148478,0.17552081147615897,4,5,,4,4,1,6200
東3-0,Bさん,北,0.20258943401364382,0.7555,0.6246387361645669,0.5333333333333333,0.06389901430814533,0.14909939963502827,,3,,2,,0,-1300
東4-0,Dさん,東,0.006196663652666353,0.3731,0.24743565192127587,0.6251629167387822,0.016890381075889808,0.16284683944242703,,16,2,18,,8,-3000
東4-0,Aさん,南,0.006196663652666353,0.8804,1.0,0.42516291673878226,0.06494946584102786,0.14172649681373983,,18,1,19,,7,1000
東4-0,Bさん,西,0.21583250553085742,0.6108,0.20747587703836962,0.6,0.23939348417620598,0.15612450814640452,,19,,18,,6,1000
東4-0,Cさん,北,0.20258943401364382,0.9634,0.7899705559920815,0.39999999999999997,0.011289584485571262,0.1256898474588671,,17,,16,,6,1000
南1-0,Aさん,東,0.8595292506399483,0.7509,0.04786902084796078,0.49182958340544897,0.3086738505782095,0.14909939963502827,,14,,13,,3,-1100
南1-0,Bさん,南,0.006196663652666353,0.7593,0.7999719580876969,0.6,0.42576784429359793,0.14909939963502827,7,13,,12,7,5,3300
南1-0,Cさん,西,0.3636333008538547,0.1169,0.2679723771166874,0.6754887502163469,0.4818123466325238,0.17552081147615897,,11,,10,,3,-600
南1-0,Dさん,北,0.20258943401364382,0.441,0.4517749962403542,0.5836591668108979,0.018169455364103967,0.162846839442427,,10,3,13,,5,-600
南2-0,Bさん,東,0.10101475373250303,0.8813,1.0,0.4666666666666666,0.6093771839804285,0.14172649681373983,,19,1,20,,9,-1500
南2-0,Cさん,南,0.5873235968543763,0.4766,0.6246387361645669,0.5836591668108979,0.22115977708252585,0.15612450814640455,,19,,18,,1,-1500
南2-0,Dさん,西,0.04488837120124027,0.3002,1.0,0.6503258334775646,0.015859635078882727,0.16930246362300364,7,16,,15,7,10,1500
南2-0,Aさん,北,0.017718725756770325,0.5714,0.16427784018934952,0.5836591668108979,0.09651907966689731,0.15612450814640455,,16,3,19,,13,1500
南3-1,Cさん,東,0.0019161214301012704,0.461,1.0,0.5169925001442313,0.013826599705971722,0.15612450814640455,10,13,,12,10,5,14300
南3-1,Dさん,南,0.6171914482604118,0.7562,0.23361846202973643,0.5584962500721156,0.04023122125305049,0.14909939963502827,,10,,9,,3,-4100
南3-1,Aさん,西,0.048207206259313864,0.1845,0.007940835469773448,0.5836591668108979,0.04619570026316201,0.17552081147615894,,10,3,13,,8,-4100
南3-1,Bさん,北,0.017718725756770325,0.3769,1.0,0.5169925001442313,0.6458779473957352,0.16284683944242703,,13,,12,,6,-4100
