index,name,seat,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,p_runs,markov_p,p_empirical,entropy_bits,cramers_v,tsumogiri_count,points_gained,PC1,PC2,anomaly_flag,CUSUM,kmeans,dbscan,hmm_state
南1-0,Dさん,北,,10,3.0,13,,0.2025894340136438,0.0181694553641039,0.438,0.5836591668108979,0.162846839442427,5,-600,-0.359134910541203,-1.697674278660104,1,0,0,-1,1
南1-0,Cさん,西,,11,0.0,10,,0.3636333008538547,0.4818123466325238,0.1191,0.6754887502163469,0.1755208114761589,3,-600,1.2487407669956347,0.4559975273384166,1,0,2,0,1
南1-0,Bさん,南,7.0,13,0.0,12,7.583333333333333,0.0061966636526663,0.4257678442935979,0.7666,0.6,0.1490993996350282,5,3300,-0.947812621752642,0.9145374491595534,1,0,1,-1,0
南1-0,Aさん,東,,14,0.0,13,,0.8595292506399483,0.3086738505782095,0.7511,0.4918295834054489,0.1490993996350282,3,-1100,-1.3351921416922143,1.9581343554619197,1,0,1,-1,1
南1-1,Cさん,西,,11,0.0,10,,0.0177187257567703,0.0331587362070113,0.2878,0.7169925001442312,0.1693024636230036,3,-600,0.4373170243480072,-0.6014796747521486,1,0,0,0,0
南1-1,Dさん,北,,10,3.0,13,,0.0177187257567703,0.1894326114347593,0.759,0.5584962500721157,0.1490993996350282,5,-600,-1.2788888939826417,-1.9245319647858683,1,0,1,-1,0
南1-1,Aさん,東,,14,0.0,13,,0.0482072062593138,0.0192025686245661,0.0256,0.8088220835496802,0.1929773263327635,3,-1100,2.076817195578845,-0.4704545462425945,1,0,0,0,0
南1-1,Bさん,南,7.0,13,0.0,12,7.583333333333333,0.5873235968543763,0.2994160066564699,0.1137,0.7421554168830136,0.1755208114761589,5,3300,1.5113132484541398,2.007365567636226,1,0,2,2,1
南2-0,Dさん,西,7.0,16,0.0,15,7.466666666666667,0.0448883712012402,0.4867509765163643,0.0056,0.9421554168830136,0.2037859431447705,10,1500,3.5699695075401183,0.882144308506643,-1,1,2,-1,0
南2-0,Bさん,東,,19,1.0,20,,0.0177187257567703,0.0051621415973574,0.104,0.7169925001442312,0.1815262689906896,9,-1500,1.4813221314166218,-0.6552321577693762,1,1,0,0,0
