_id,modeId,uuid,startTime,endTime,accountId,nickname,level,score,gradingScore
8yLhrVefEng,16,250726-b4e7b758-0235-44d0-bcf5-aed3aad7e5ab,2025-07-26 12:02:13,2025-07-26 12:43:56,124845752,Terrie_JP,10702,16700,-50
8yLhrVefEng,16,250726-b4e7b758-0235-44d0-bcf5-aed3aad7e5ab,2025-07-26 12:02:13,2025-07-26 12:43:56,68391671,すーさんこー,10702,39300,50
8yLhrVefEng,16,250726-b4e7b758-0235-44d0-bcf5-aed3aad7e5ab,2025-07-26 12:02:13,2025-07-26 12:43:56,105939421,Robin1932,10707,24600,20
8yLhrVefEng,16,250726-b4e7b758-0235-44d0-bcf5-aed3aad7e5ab,2025-07-26 12:02:13,2025-07-26 12:43:56,17563283,Highconduct,10501,19400,-10
8yLg8JsEd2r,16,250726-22e58add-f050-4095-b489-276d28d21dc0,2025-07-26 11:38:36,2025-07-26 12:00:41,8629386,澜猫猫,10701,21700,-20
8yLg8JsEd2r,16,250726-22e58add-f050-4095-b489-276d28d21dc0,2025-07-26 11:38:36,2025-07-26 12:00:41,13323571,阿玛菲特,10701,1700,-50
8yLg8JsEd2r,16,250726-22e58add-f050-4095-b489-276d28d21dc0,2025-07-26 11:38:36,2025-07-26 12:00:41,105939421,Robin1932,10707,31200,20
8yLg8JsEd2r,16,250726-22e58add-f050-4095-b489-276d28d21dc0,2025-07-26 11:38:36,2025-07-26 12:00:41,17563283,Highconduct,10501,45400,156
8yLdYVKjUPU,16,250726-9b66999c-85a2-4d6a-b0d7-71c4afe0cd26,2025-07-26 11:03:22,2025-07-26 11:36:21,104661237,2022マサくん,10701,28900,20
8yLdYVKjUPU,16,250726-9b66999c-85a2-4d6a-b0d7-71c4afe0cd26,2025-07-26 11:03:22,2025-07-26 11:36:21,1099104,乌兰麦朵,10501,45900,156
8yLdYVKjUPU,16,250726-9b66999c-85a2-4d6a-b0d7-71c4afe0cd26,2025-07-26 11:03:22,2025-07-26 11:36:21,70218284,だーじりんP,10701,26000,-20
8yLdYVKjUPU,16,250726-9b66999c-85a2-4d6a-b0d7-71c4afe0cd26,2025-07-26 11:03:22,2025-07-26 11:36:21,105939421,Robin1932,10707,-800,-50
8yLZThp3MnH,16,250726-633c13bf-2c38-4564-a9c1-655398237d24,2025-07-26 10:07:39,2025-07-26 10:40:50,105939421,Robin1932,10707,19800,-20
8yLZThp3MnH,16,250726-633c13bf-2c38-4564-a9c1-655398237d24,2025-07-26 10:07:39,2025-07-26 10:40:50,70143379,elemoi_,10702,34600,20
8yLZThp3MnH,16,250726-633c13bf-2c38-4564-a9c1-655398237d24,2025-07-26 10:07:39,2025-07-26 10:40:50,71949155,岡田悠太郎,10501,42500,153
8yLZThp3MnH,16,250726-633c13bf-2c38-4564-a9c1-655398237d24,2025-07-26 10:07:39,2025-07-26 10:40:50,12825790,恶调狂打糊涂图,10701,3100,-50
8yLKzz6VRPs,16,250726-2bf0f6b8-75d3-494d-a35c-ac27f1e3e4e0,2025-07-26 06:49:47,2025-07-26 07:20:57,9760167,阿尼亚a,10502,12300,-252
8yLKzz6VRPs,16,250726-2bf0f6b8-75d3-494d-a35c-ac27f1e3e4e0,2025-07-26 06:49:47,2025-07-26 07:20:57,105939421,Robin1932,10707,16900,-20
8yLKzz6VRPs,16,250726-2bf0f6b8-75d3-494d-a35c-ac27f1e3e4e0,2025-07-26 06:49:47,2025-07-26 07:20:57,14849683,TooHard,10701,42800,50
8yLKzz6VRPs,16,250726-2bf0f6b8-75d3-494d-a35c-ac27f1e3e4e0,2025-07-26 06:49:47,2025-07-26 07:20:57,67479295,【終尾の巨人】,10701,28000,20
8yLJ04fMeqx,16,250726-7a7ef453-0a08-4768-8e8d-bfd054a4b4ab,2025-07-26 06:22:28,2025-07-26 06:47:38,355938,全是技巧太强啦,10702,20500,-20
8yLJ04fMeqx,16,250726-7a7ef453-0a08-4768-8e8d-bfd054a4b4ab,2025-07-26 06:22:28,2025-07-26 06:47:38,71993717,とらねこ丸,10501,32100,143
8yLJ04fMeqx,16,250726-7a7ef453-0a08-4768-8e8d-bfd054a4b4ab,2025-07-26 06:22:28,2025-07-26 06:47:38,105939421,Robin1932,10707,20500,-50
