game_index,name,seat,bias_score,p_runs,p_markov,p_comp
0,Bさん,南,2,0.006196663652666353,0.04265399889828348,0.6588
1,Bさん,東,1,0.04488837120124027,0.6892407253485704,0.9888
1,Dさん,西,1,0.04488837120124027,0.09339183858299825,0.752
1,Aさん,北,1,0.017718725756770325,0.31764569941702436,0.4485
2,Aさん,西,1,0.04488837120124027,0.5749559043215831,0.5761
3,Dさん,東,2,0.006196663652666353,0.011852994377976893,0.2155
4,Dさん,北,2,0.0005230230780571317,0.018739407523510884,0.0518
5,Bさん,東,2,0.04488837120124027,0.04543498162654704,0.3011
6,Cさん,東,1,0.017718725756770325,0.09849105519942318,0.837
6,Dさん,南,1,0.10101475373250303,0.0427004392990608,0.3799
6,Bさん,北,1,0.04488837120124027,0.5060703883536205,0.986
7,Dさん,東,2,0.006196663652666353,0.003998500699319878,0.3836
7,Aさん,南,2,0.0020539789769586383,0.14341265283645863,0.002
